,/@Count,/@Count/#agg,/@Rows,/tri_facility/ASGN_AGENCY,/tri_facility/ASGN_FEDERAL_IND,/tri_facility/ASGN_PARTIAL_IND,/tri_facility/ASGN_PARTIAL_IND/#agg,/tri_facility/ASGN_PUBLIC_CONTACT,/tri_facility/ASGN_PUBLIC_CONTACT_EMAIL,/tri_facility/ASGN_PUBLIC_PHONE,/tri_facility/ASGN_PUBLIC_PHONE_EXT,/tri_facility/ASGN_PUBLIC_PHONE_EXT/#agg,/tri_facility/BIA_CODE,/tri_facility/CITY_NAME,/tri_facility/COUNTY_NAME,/tri_facility/FAC_CLOSED_IND,/tri_facility/FAC_CLOSED_IND/#agg,/tri_facility/FAC_LATITUDE,/tri_facility/FAC_LATITUDE/#agg,/tri_facility/FAC_LONGITUDE,/tri_facility/FAC_LONGITUDE/#agg,/tri_facility/FACILITY_NAME,/tri_facility/FRS_ID,/tri_facility/MAIL_CITY,/tri_facility/MAIL_COUNTRY,/tri_facility/MAIL_NAME,/tri_facility/MAIL_PROVINCE,/tri_facility/MAIL_STATE_ABBR,/tri_facility/MAIL_STREET_ADDRESS,/tri_facility/MAIL_ZIP_CODE,/tri_facility/PARENT_CO_DB_NUM,/tri_facility/PARENT_CO_NAME,/tri_facility/PREF_ACCURACY,/tri_facility/PREF_ACCURACY/#agg,/tri_facility/PREF_COLLECT_METH,/tri_facility/PREF_DESC_CATEGORY,/tri_facility/PREF_HORIZONTAL_DATUM,/tri_facility/PREF_LATITUDE,/tri_facility/PREF_LATITUDE/#agg,/tri_facility/PREF_LONGITUDE,/tri_facility/PREF_LONGITUDE/#agg,/tri_facility/PREF_QA_CODE,/tri_facility/PREF_QA_CODE/#agg,/tri_facility/PREF_SOURCE_SCALE,/tri_facility/REGION,/tri_facility/REGION/#agg,/tri_facility/STANDARDIZED_PARENT_COMPANY,/tri_facility/STATE_ABBR,/tri_facility/STATE_COUNTY_FIPS_CODE,/tri_facility/STATE_COUNTY_FIPS_CODE/#agg,/tri_facility/STREET_ADDRESS,/tri_facility/TRI_FACILITY_ID,/tri_facility/ZIP_CODE,/tri_facility/ZIP_CODE/#agg
39,1264,,0-100000,,C,0,0,PATRICK BERGIN,PBERGIN@CEMSTONE.COM,6516864221,,,,HASTINGS,DAKOTA,0,0,0,0,0,0,CEMSTONE PRODUCTS-HASTINGS,,MENDOTA HEIGHTS,,CEMSTONE PRODUCTS-HASTINGS,,MN,"2025 CENTRE POINTE BLVD, SUITE 300",55120,,CEMSTONE PRODUCTS CO,,,,,,,,,,,,,5,5,CEMSTONE PRODUCTS CO,MN,27037,27037,314 21ST ST S,5503WCMSTN31421,55033,55033
40,1264,,0-100000,,C,0,0,DAVID ZWART,DAVID@HASTINGSCREAMERY.COM,6514379414,,,,HASTINGS,DAKOTA,0,0,,,,,HASTINGS COOP CREAMERY,,HASTINGS,,HASTINGS COOP CREAMERY,,MN,PO BOX 217,55033,,,,,,,,,,,,,,,5,5,,MN,27037,27037,1701 VERMILLION ST.,5503WHSTNG171VE,55033,55033
41,1264,,0-100000,,C,0,0,BRUNO RAHN,RAHNB@HEARTHNHOME.COM,6513451746,,,,LAKE CITY,WABASHA,0,0,0,0,0,0,HEARTH and HOME TECHNOLOGIES INC LAKE CITY,,LAKE CITY,,HEARTH and HOME TECHNOLOGIES INC LAKE CITY,,MN,800 W JEFFERSON ST,55041,5269709,HNI CORP,11000,11000,UN,UN,1,44.449167,44.449167,92.280556,92.280556,1000,1000,U,5,5,HNI CORP,MN,27157,27157,800 W JEFFERSON ST,55041HTNGL800JE,55041,55041
42,1264,,0-100000,,C,0,0,MIKE NOLL,MIKE.NOLL@FEDERALMOGUL.COM,6513458094,,,,LAKE CITY,WABASHA,0,0,442613,442613,921530,921530,FEDERAL-MOGUL POWERTRAIN SYSTEMS,,LAKE CITY,,FEDERAL-MOGUL POWERTRAIN SYSTEMS,,MN,520 N 8TH ST,55041,6557045,FEDERAL MOGUL CORP,150,150,UN,UN,1,44.436944,44.436944,92.258333,92.258333,1010,1010,U,5,5,FEDERAL MOGUL CORP,MN,27157,27157,520 N 8TH ST,55041JPTRN520N8,55041,55041
43,1264,,0-100000,,C,0,0,LYDIA BOTHAM,,6514812123,,,,LAKE CITY,WABASHA,0,0,442451,442451,922005,922005,LAND O'LAKES,,LAKE CITY,,LAND O'LAKES,,MN,RR 1,55041,6253835,LAND O'LAKES INC,,,,,,,,,,,,,5,5,,MN,27157,27157,RR 1,55041LNDLKRR1XX,55041,55041
44,1264,,0-100000,,C,0,0,DONALD SIEWERT,DONSIEWERT@VALLEYCRAFT.COM,6513453386,,,,LAKE CITY,WABASHA,0,0,442600,442600,921500,921500,VALLEY CRAFT INC,,LAKE CITY,,VALLEY CRAFT INC,,MN,2001 S HWY 61,55041-9555,61456489,LIBERTY DIVERSIFIED INDUSTRIES,150,150,UN,UN,1,44.433333,44.433333,92.25,92.25,1010,1010,U,5,5,,MN,27157,27157,2001 S HWY 61,55041VLLYC2001S,550419555,550419555
45,1264,,0-100000,,C,0,0,PATRICK BERGIN,PBERGIN@CEMSTONE.COM,6516889292,,,,LAKELAND,WASHINGTON,0,0,0,0,0,0,CEMSTONE LAKELAND,,MENDOTA HEIGHTS,,CEMSTONE LAKELAND,,MN,"2025 CENTRE POINTE BLVD, SUITE 300",55120,,CEMSTONE PRODUCTS CO,,,,,,,,,,,,,5,5,CEMSTONE PRODUCTS CO,MN,27163,27163,16164 HUDSON BLVD,55043CMSTN16164,55043,55043
46,1264,,0-100000,,C,0,0,MARK HESS,MARK.HESS@UNIVARUSA.COM,2145035768,,,,LAKEVILLE,DAKOTA,0,0,443805,443805,931341,931341,UNIVAR USA INC LAKEVILLE,,BEDFORD PARK,,UNIVAR USA INC,,IL,8500 W 68TH ST,605011844,102971785,UNIVAR USA INC,,,,,,,,,,,,,5,5,,MN,27037,27037,21675 HAMBURG AVE,55044CHMCN21675,550449197,550449197
47,1264,,0-100000,,C,0,0,BRIAN MACDONALD,,5073337414,,,,LAKEVILLE,DAKOTA,0,0,443755,443755,930846,930846,CROWN CORK and SEAL CO INC,,LAKEVILLE,,CROWN CORK and SEAL CO INC,,MN,8415 220TH ST W,55044,2282341,CROWN CORK and SEAL CO INC,150,150,A1,PG,1,44.632354,44.632354,93.231195,93.231195,1000,1000,J,5,5,,MN,27037,27037,8415 220TH ST W,55044CRWNC84152,55044,55044
48,1264,,0-100000,,C,0,0,DAVID B. BORAAS,DAVID.BORAAS@AGGREGATE.COM,6516838169,,,,LAKEVILLE,DAKOTA,0,0,,,,,AGGREGATE INDUSTRIES LAKEVILLE EAST READY-MIX,,LAKEVILLE,,AGGREGATE INDUSTRIES LAKEVILLE EAST READY-MIX,,MN,5000 W 160TH ST,55044,622258929,AGGREGATE INDUSTRIES,,,,,,,,,,,,,5,5,,MN,27037,27037,5000 W 160TH ST,55044GGRGT5W16T,55044,55044
49,1264,,0-100000,,C,0,0,DC AGNER,DCAGNER@HOBOINC.COM,9529859993,,,,LAKEVILLE,DAKOTA,0,0,,,,,HOBO INC,,LAKEVILLE,,HOBO INC,,MN,21365 HAMBURG AVE,55044,,,,,,,,,,,,,,,5,5,,MN,27037,27037,21365 HAMBURG AVE,55044HBNCX21365,55044,55044
50,1264,,0-100000,,C,0,0,WILLIAM M. GIRTZ,,6128877800,,,,LAKEVILLE,DAKOTA,0,0,443800,443800,931330,931330,HITCHCOCK INDUSTRIES INC LAKEVILLE OPERATIONS,,LAKEVILLE,,HITCHCOCK INDUSTRIES INC LAKEVILLE OPERATIONS,,MN,21850 GRANADA AVE,55044,,,150,150,UN,UN,1,44.633333,44.633333,93.225,93.225,1010,1010,U,5,5,,MN,27037,27037,21850 GRANADA AVE,55044HTCHC21850,55044,55044
