,geometry,geo_names
46,POINT (489225.6417525839 4877435.047967609 ),CROWN FOOD PACKAGING
47,POINT (489455.3443045922 4875801.963881227 ),JOSTENS INC - SOUTHTOWN
48,POINT (487800.1930543911 4877681.880649764 ),LAND O'LAKES FARMLAND FEED
49,POINT (413924.3247181843 5259795.393919357 ),DAIKIN APPLIED OWATONNA MN
50,POINT (487964.0680610266 4879691.935497228 ),MUSTANG MFG CO INC
51,POINT (487824.142242021 4877637.408747852 ),NATIONAL COMPUTER SYSTEMS INC
52,POINT (487684.2878864081 4879959.01893252 ),SLIDELL INC
53,POINT (488641.6078176533 4877869.196734802 ),BOSCH AUTOMOTIVE SERVICE SOLUTIONS LLC
54,POINT (487832.4188424776 4877781.783461585 ),LEE HOLDINGS
55,POINT (488424.5741675881 4877436.404046599 ),TRUTH HARDWARE PAINT PLANT
56,POINT (488488.85325913 4877547.360777953 ),TRUTH HARDWARE CORP-OWATONNA
57,POINT (487960.5221961996 4877748.227792623 ),VIRACON INC
58,POINT (488392.92207092 4877658.59792168 ),WENGER CORP
59,POINT (532819.0597459534 5037471.316336656 ),3M CO PINE CITY PLANT
60,POINT (550775.7964245698 4910167.531396755 ),CARLISLE POWER TRANSMISSION PRODUCTS
61,POINT (554923.56498735 4909867.833202419 ),ADM CO
62,POINT (554548.5336322415 4909909.124746665 ),RED WING SHOE CO INC PLANT 1
63,POINT (551629.3175223074 4910096.46282563 ),RED WING SHOE PLANT 2
64,POINT (554611.7482012573 4909976.302196763 ),RIVERA CABINETS
65,POINT (552553.8382783682 4908137.687795438 ),S B FOOT TANNING CO
66,POINT (556444.3727528024 4908236.76747836 ),USG INTERIORS LLC
67,POINT (498806.6230181368 4922444.141733381 ),CONTINENTAL NITROGEN and RESOURCES CORP
68,POINT (497452.595884867 4918523.535382196 ),DOLE EXPLOSIVES INC
69,POINT (498965.7328888841 4922399.683831152 ),DPC INDUSTRIES INC
70,POINT (499084.7154774416 4919867.122777242 ),RAYFO INC
71,POINT (499713.5758387289 4922133.023987264 ),SPECTRO ALLOYS CORP
72,POINT (498320.6661936909 4919922.813067183 ),WASTEQUIP INC (DBA RAYFO)
73,POINT (532617.1790367487 5019094.617687117 ),ZINPRO CORP
74,POINT (533000.0489007186 4987590.380966325 ),PLASTECH CORP
75,POINT (477239.1855706138 5009652.82176038 ),ALLIANT TECHSYSTEMS PROVING GROUND
76,POINT (499769.4774111057 4927997.895121044 ),ST PAUL PARK REFINING CO LLC
77,POINT (540780.8325826771 5000011.237648699 ),NICKELSON PLASTICS
78,POINT (500000 4929963.968712577 ),DAKOTA PREMIUM FOODS
79,POINT (498361.3921158574 4923621.652638727 ),UNION CARBIDE INDUSTRIAL GASES INC
80,POINT (498951.0477087069 4929997.376842177 ),TWIN CITY TANNING CO LLP
81,POINT (498982.9524710794 4930752.702730545 ),SANIMAX USA LLC
82,POINT (498847.9625897373 4931241.469332301 ),WATEROUS CO INC
83,POINT (498267.3223342238 4928808.989576128 ),LOFTON LABEL INC
84,POINT (498862.5081184286 4923554.899596134 ),LAND O'LAKES PURINA FEED LLC - INVER GROVE HEIGHTS
85,POINT (481065.8317552644 5026793.217368167 ),LAND O'LAKES INC DALBO
86,POINT (540101.0727696639 4985609.200616159 ),3M CO STILLWATER
87,POINT (499960.7248749195 5004390.61806255 ),DIVERSIFIED PRODUCTS INC
88,POINT (500000 5005168.256084176 ),SUNRISE FIBERGLASS CORP
89,POINT (499952.8699324409 5004401.727225639 ),SUNRISE FIBERGLASS LLC
90,POINT (495918.7217675596 4935208.15716261 ),BUCKBEE-MEARS ST PAUL
91,POINT (495935.3267562073 4936363.369116872 ),ADVANCE CORP
92,POINT (496022.6332681095 4936329.991191598 ),OLIVE STREET SCREEN PRINTING
93,POINT (496005.537383194 4934352.795577601 ),DIAL CORP
94,POINT (495180.4207674654 4935397.498330844 ),DIAMOND PRODUCTS CO
95,POINT (496014.6739189218 4936296.672331563 ),UNIVAR USA INC-ST PAUL
96,POINT (494996.7808748216 4934075.798392322 ),EXCEL ENERGY HIGH BRIDGE GENERATING PLANT
97,POINT (494495.2790585473 5042165.136246496 ),MBC HOLDING CO
98,POINT (495219.4000356811 4934419.974809013 ),TAMOR CORP
99,POINT (494996.1810230422 4933298.24774924 ),"NEXEO SOLUTIONS, LLC"
100,POINT (493291.8623436535 4936521.077329018 ),GNB INC
101,POINT (574482.8855764318 4936023.607858975 ),AAA METAL FINISHING INC
102,POINT (492027.4079957007 4934723.02707086 ),CO-OPERATIVE PLATING CO
103,POINT (480070.9778357215 4935548.529561134 ),DELUXE BUSINESS SYSTEMS
104,POINT (491774.3445063678 4935545.328512647 ),HARCROS CHEMICALS INC
105,POINT (486341.3689366207 5023146.755100626 ),HUOT MANUFACTURING CO
106,POINT (492781.7619997883 4934699.927569291 ),LOES ENTERPRISES INC
107,POINT (491750.6239984161 4935623.11408214 ),MCGILL JENSEN INC
108,POINT (489517.8726156105 4934582.195714981 ),SILGAN CONTAINERS MANUFACTURIN G CORP
109,POINT (491624.535833983 4936356.398863447 ),PLATING INC
110,POINT (492782.5040183038 4935366.400974072 ),RAYVEN INC
111,POINT (494204.1286890907 4935764.858707028 ),SPARTAN MFG CO INC
112,POINT (493449.7928777195 4935687.821745477 ),ST PAUL BRASS FOUNDRY CO
113,POINT (534542.3280150375 4925901.422827657 ),ADVANCE CORP
114,POINT (498174.1007381111 4936462.322834278 ),ADVANCE CORP
115,POINT (497531.0074001301 4936307.025135027 ),GLOBE BUILDING MATERIALS INC
116,POINT (497585.8598935789 4934374.230411662 ),FLINT HILLS RESOURCES PINE BEND LLC ST PAUL
117,POINT (495180.4207674654 4935397.498330844 ),NOBLES MANUFACTURING INC
118,POINT (497261.0900737604 4936318.241507152 ),NORTHERN IRON and MACHINE
119,POINT (498077.8849470516 4933252.171081954 ),PM AG PRODS INC
120,POINT (496762.0451679619 5046829.678978633 ),STROH BREWERY CO
121,POINT (497569.9940437024 4934418.667859167 ),HAWKINS TERMINAL I
122,POINT (496593.2211049906 4934407.999596395 ),BROWN and BIGELOW INC
123,POINT (496442.15529482 4934074.844343179 ),SEACOLE - CandH
124,POINT (496667.3600255292 4985339.652651188 ),MOLEX COPPER FLEX PRODUCTS
125,POINT (495798.9850072248 4934230.739408372 ),AUTOMATIC PRODUCTS INTERNATIONAL LTD
126,POINT (495640.0817809606 4934119.765500081 ),J and L WIRE CLOTH CO INC
127,POINT (495592.5078987543 4934230.876459805 ),AMERICRAFT CARTON INC
128,POINT (495663.9138980666 4934130.857400008 ),MODINE N CENTRAL INC
129,POINT (495949.8651871964 4934219.535537283 ),REXAM BEVERAGE CAN CO
130,POINT (495791.1228878386 4934352.931204337 ),3M CO
131,POINT (496537.5021542458 4934163.655750375 ),VIKING DRILL and TOOL INC
132,POINT (491775.8106244841 4936700.551078061 ),GENERAL FOAM OF MINNESOTA INC
133,POINT (490799.2761691682 4936624.108530999 ),H B FULLER CO
134,POINT (492778.5544743076 4888548.300934021 ),LITHO SPECIALTIES INC
135,POINT (490339.0252206089 4936746.965776267 ),IVC NORTH INC (DBA TI KROMATIC INDUSTRIAL)
136,POINT (413412.2994983833 4937018.376557616 ),ETA SYS INC MFG
137,POINT (491029.508110056 4936634.893651378 ),BRENNTAG GREAT LAKES LLC
138,POINT (499211.9841451381 4984061.323302939 ),HYDROSTREAM BOATS
139,POINT (498975.7719246408 4985261.103216724 ),PROLIANCE INTERNATIONAL INC.
140,POINT (453044.4590153971 4983478.524126358 ),GE SECURITY
141,POINT (497550.5973011051 4987516.576386584 ),ACCU-TRONICS MANUFACTURING INC
142,POINT (498070.473461206 4987738.574212075 ),CONTAINER GRAPHICS CORP
143,POINT (497999.3071532725 4986827.67374384 ),CORTEC CORP
144,POINT (499937.0374337902 4992026.300381649 ),DYNA GLASS INC
145,POINT (497486.8681315967 4985683.649451955 ),HB FULLER PILOT FACILITY
146,POINT (498376.4048949219 4982950.606829194 ),3M CO OPTICAL RECORDING DEPT
147,POINT (498802.6515862686 4986383.120469442 ),NORDIC PAK INC
148,POINT (497620.8133576886 4985728.033232316 ),INTERPLASTIC CORP
149,POINT (498921.0007900461 4987505.088459093 ),UFP WHITE BEAR LAKE LLC
150,POINT (498187.6266104614 4984283.707023546 ),SAPUTO DAIRY FOODS USA
151,POINT (499724.3888889219 4988560.341210032 ),ASPEN RESEARCH CORPORATION
152,POINT (497637.6149313524 4988549.664130848 ),TRANE US INC
153,POINT (492035.416005505 4992175.696544889 ),WILSON TOOL INTL INC
154,POINT (489558.3709228483 4930138.981546346 ),NORTHWEST AIRLINES INC
155,POINT (491195.0431482974 4987733.252400835 ),BELL LUMBER and POLE CO
156,POINT (491019.0425058684 4985789.454104246 ),BASIC INDUSTRIES
157,POINT (492753.4969529053 4986920.346802062 ),BOSTON SCIENTIFIC-CRM
158,POINT (491826.3328276682 4988698.881326175 ),US ARMY TCAAP ALLIANT AMMUNITION SYSTEMS CO LLC
159,POINT (491273.6930585566 4987655.38243 ),"DARLING and CO, KEM MILLING CO DIV"
160,POINT (490941.3821457682 4986578.289512841 ),MICOM CORP
161,POINT (491180.5520261983 4988644.197777079 ),E/M CORP
162,POINT (491659.5746859855 4987632.648384993 ),"CELESTICA, INC."
163,POINT (492729.1580149325 4986298.281074093 ),INTERNATIONAL PAPER CO
164,POINT (492752.9668972518 4986453.777281188 ),PHARMACIA DELTEC INC
165,POINT (492046.6507949441 4988565.296449306 ),US ARMY TWIN CITIES ARMY AMMUNITION PLANT
166,POINT (491224.803457819 4986466.805170719 ),MACGILLIS and GIBBS CO
167,POINT (491120.8850151252 4985378.28596214 ),TREND SCIENTIFIC INC
168,POINT (491263.3223693917 4985833.550160561 ),TRAN ELECTRONICS CORP
169,POINT (412606.3782789768 4990214.937043466 ),TWIN CITIES ARMY AMMUNITION PLANT FEDERAL CARTRIDGE CO
170,POINT (491273.3586286745 4987410.988544879 ),AQSEPTENCE GROUP INC
171,POINT (491105.7628087192 4985833.767848316 ),WOLKERSTORFER CO INC
172,POINT (490511.3150958963 4983412.908756474 ),DELUXE BUSINESS SYS
173,POINT (491844.3197417442 4984288.659584277 ),HONEYWELL ELECTRONIC MATERIALS INC
174,POINT (491253.2523132762 4984233.898213113 ),LUBRICATION TECHNOLOGIES INC
175,POINT (491038.8566744307 4983067.775078279 ),TESORO REFINING and MARKETING ROSEVILLE TERMINAL
176,POINT (490898.7019472951 4984267.720185187 ),BRENNTAG GREAT LAKES LLC
177,POINT (490369.4744345204 4983424.22987383 ),UNICIRCUIT ROSEVILLE
178,POINT (495074.9780369516 4984163.153224319 ),WM LAMPTRACKER INC
179,POINT (492131.2308061227 4993286.469557359 ),ATandT NCR NETWORK PRODUCTS DIV
180,POINT (490322.1213647702 4983379.866405108 ),UNISYS CORP
181,POINT (490543.8097324988 4984068.278020132 ),DIMENSION IMAGING
182,POINT (491773.357835186 4984255.424317185 ),RAMSEY TECHNOLOGY INC
183,POINT (491070.8793257748 4983423.21052102 ),ARTISTIC FINISHES INC
184,POINT (495121.4604496922 4983118.894931804 ),AGROPUR INC
185,POINT (490457.1445935816 4984079.515755622 ),EVOQUA WATER TECHNOLOGIES LLC
186,POINT (490920.8569023909 4983223.46436609 ),STONE CONTAINER CORP
187,POINT (495674.2952613179 4937785.353246168 ),SAINT PAUL REGIONAL WATER SERVICES
188,POINT (490435.2855048791 4985268.188744156 ),WILLAMETTE INDUSTRIES INC
189,POINT (490949.7974419216 4936401.737795251 ),FISHER NUT CO
190,POINT (493304.5557925884 4917993.311907399 ),DIXIE PETRO-CHEM INC
191,POINT (490313.5002398469 4935602.88656975 ),SAMINA SCI
192,POINT (490972.6390627907 4935701.906368747 ),TETRA PAK EQUIPUS INC
193,POINT (491037.1854137903 4936446.048083087 ),MIXON INC
194,POINT (491083.5799864854 4935546.241902641 ),NOR-LAKES SERVICES MIDWEST INC
195,POINT (490861.4528981809 4935679.846329891 ),SEWALL GEAR MFG CO
196,POINT (490956.6203204669 4935601.957394694 ),WESTROCK MN CORP
197,POINT (490904.5117159036 4932414.064724373 ),FORD MOTOR CO. TWIN CITIES ASSEMBLY PLANT
198,POINT (490881.53944337 4933025.02989827 ),MULTI-CLEAN INC
199,POINT (492055.6621980403 4931857.160345957 ),LORAL DEFENSE SYS-EAGAN
200,POINT (492818.6382553416 4932145.075282183 ),QUEBECOR PRINTING ST PAUL
201,POINT (494276.2714072824 4936542.348884015 ),CONTAINER CORP OF AMERICA
202,POINT (495610.128835341 4936796.790220498 ),SPLASH PRODUCTS
203,POINT (494125.5186207767 4936631.34720915 ),ELECTRO-PLATING ENG INC
204,POINT (496798.0099577495 4930997.784769048 ),MULTI-ARC SCIENTIFIC COATINGS INC
205,POINT (496702.6709832315 4931008.940319941 ),FLINT INK NA CORP
206,POINT (496583.5254943711 4931075.648872804 ),TAPEMARK CO
207,POINT (499197.5600884981 4931352.494941184 ),HAWKINS WATER TREATMENT GROUP - RED ROCK
208,POINT (499761.6290775759 4930741.519622801 ),GERDAU AMERISTEEL ST PAUL MILL
209,POINT (492021.4823913805 4929902.223513174 ),APPLIED COATING TECHNOLGY INC PLANT 2
210,POINT (494045.2012209707 4926956.489757501 ),BO-DECOR METAL FINISHING INC
211,POINT (494236.8564292575 4927911.584793858 ),BROWN MINNEAPOLIS TANK
212,POINT (494849.6113246291 4928755.26140708 ),ECOLAB ENGINEERING CENTER
213,POINT (494762.0117131729 4928544.283538572 ),CRAY RESEARCH INC
214,POINT (494379.5378655812 4927444.933505956 ),GOPHER RESOURCE LLC
215,POINT (493545.3674699171 4928001.097136677 ),HILEX CORP (DBA KIK MINNESOTA INC)
216,POINT (490552.8053880659 4483760.201887625 ),LULL INDUSTRIES
217,POINT (492774.8897523815 4928523.974120264 ),MIDWEST COCA-COLA BOTTLING CO
218,POINT (492774.8897523815 4928523.974120264 ),MIDWEST COCA-COLA BOTTLING CO
219,POINT (493196.3535882521 4928712.351463763 ),MATERIALS PROCESSING CORP
220,POINT (492034.6793792098 4927702.863444614 ),UNISYS CORP SEMICONDUCTOR OPERATIONS
221,POINT (492846.7924589134 4928857.128310226 ),UNISYS MATERIALS MANAGEMENT CENTER CSD
222,POINT (492050.2249183654 4927414.04224773 ),PARAMAX SYSTEMS CORP UNISYS PARK CSD
223,POINT (493442.7809666281 4928745.421407013 ),PEPSI-COLA BOTTLING CO EAGAN
224,POINT (492775.5816111773 4929146.00986376 ),ERGOTRON INC.
225,POINT (490994.9988615264 4928926.07836212 ),SAFETY-KLEEN SYSTEMS EAGAN (EAB)
226,POINT (492791.0577802396 4928768.327571253 ),W.R. GRACE and CO. - CONN. GRACE CONSTRUCTION PRODUCTS
227,POINT (491176.3077306179 4927826.157962532 ),WATER HEATER INNOVATIONS INC.
228,POINT (490324.0488378994 4926694.377818923 ),FINISHING EQUIPMENT INC
229,POINT (493403.1530530439 4928856.539450001 ),ROSEMOUNT INC
230,POINT (494816.2151294361 4926744.781776225 ),MICROPARTS INC
231,POINT (494847.8414083858 4926522.601644195 ),WEST PUBLISHING CO
232,POINT (491094.4150799973 4920261.913828771 ),HANSON PIPE and PRODUCTS INC
233,POINT (533796.4500151153 4933228.848026759 ),ECOWATER SYSTEMS INC.
234,POINT (533073.7717687009 4933202.906772217 ),DEAN FOODS NORTH CENTRAL LLC-WOODBURY
235,POINT (493266.0411695288 4987453.008413732 ),"CONTROL DATA CORP, ARDEN HILLS"
236,POINT (493415.0653772171 4986852.976615032 ),DELUXE CHECK PRINTERS INC
237,POINT (494382.9918897555 4985818.932345711 ),MINUTEMAN INTERNATIONAL MULTI-CLEAN DIV
238,POINT (496818.2168582911 4987672.423178802 ),ELECTRONIC INDUSTRIES INC
239,POINT (497520.3862497237 4990838.132311742 ),SCHWING AMERICA INC
240,POINT (496062.6709695658 4988517.115789368 ),SERVTRON CO
241,POINT (533137.5681431184 4937813.132033073 ),H B FULLER CO INDUSTRIAL COATINGS DIV
242,POINT (500000 4935351.275065112 ),3M CO CENTER PILOT PLANTS
243,POINT (497221.1623625741 4935773.970925658 ),3M CO - ST. PAUL EASTSIDE SITE
244,POINT (496022.6332681095 4936329.991191598 ),3M CO ST PAUL INDUSTRIAL ABRASIVES
245,POINT (492063.2537126133 4938055.36227548 ),H M SMYTH CO INC
246,POINT (499005.4699650122 4922121.985997402 ),FLINT HILLS RESOURCES LP
247,POINT (498210.0781138861 4922966.339128313 ),FLINT HILLS RESOURCES PINE BEND LLC
248,POINT (490424.1913425021 4983124.210980234 ),PAPER CALMENSON and CO
249,POINT (480930.5600073679 4997420.517758056 ),BALLANTINE - DIV OF US TSUBAKI
250,POINT (480845.0302096921 4997742.938491441 ),FIRESTONE METAL PRODUCTS
251,POINT (482569.6557462935 4995804.999419804 ),FEDERAL CARTRIDGE CO
252,POINT (482602.7898610097 4996415.906258045 ),NVENT HOFFMAN
253,POINT (482484.5712429727 4996327.35834794 ),NVENT HOFFMAN
254,POINT (463780.8536502619 5008682.302853283 ),LIFE FITNESS A DIV OF BRUNSWICK CORP
255,POINT (463780.8536502619 5008682.302853283 ),LIFE FITNESS CONSUMER DIV
256,POINT (481911.4666351338 4996695.561595828 ),LAKELAND TOOL and ENGINEERING INC
257,POINT (480144.9546972916 4997667.32290735 ),LUND INDUSTRIES INC
258,POINT (479477.5713134696 4997980.497489192 ),ALTRON INC
259,POINT (481128.1415564376 4997753.200776689 ),MENTOR CORP
260,POINT (480663.9042594019 4997654.614114651 ),MATE PRECISION TOOLING
261,POINT (479350.4281330273 4997569.872217163 ),AIRGAS NORTH CENTRAL INC
262,POINT (481704.4310876355 4995807.429297372 ),PROFESSIONAL PLATING INC
263,POINT (480315.438444939 4996855.829151685 ),IMI CORNELIUS INC
264,POINT (479202.3663370071 4997981.391999423 ),VISION-EASE LENS INC
265,POINT (488996.6114762094 5000734.154722441 ),KNAPP WOODWORKING INC
266,POINT (485294.9356491338 4921283.226053385 ),CHART INDUSTRIES INC
267,POINT (485217.6834111337 4922305.310797621 ),PRINCESS MARBLE ACQUISITION LLC
268,POINT (458944.8511197453 5008634.030151703 ),LIBERTY PAPER INC
269,POINT (458074.0085057389 5007528.768017581 ),XCEL ENERGY SHERBURNE COUNTY GENERATING PLANT
270,POINT (465816.4894121563 5004771.567589631 ),CARGILL ANIMAL NUTRITION
271,POINT (557535.1689272366 4983209.579824335 ),BOSTON SCIENTIFIC WEAVER LAKE CAMPUS
272,POINT (458678.9953355452 4994304.472229701 ),HONEYWELL ELECTRONIC MATERIALS INC
273,POINT (392384.4918663271 4924022.649626069 ),BUFFALO LAKE ADVANCED BIOFUELS
274,POINT (456223.204933003 4967692.096212736 ),PARKER HANNIFIN CORP
275,POINT (473465.0219875539 4935572.205945718 ),GENERAL MILLS INC CHANHASSEN PLANT
276,POINT (471848.3918884486 4928969.733858293 ),PARKER HANNIFIN CORP
277,POINT (475798.9333430832 4929064.892678812 ),PRESS INC
278,POINT (473365.310387027 4928685.637285016 ),QUANTUM CONTROLS INC
279,POINT (474506.7686154459 4927892.393307777 ),ROBERTS AUTOMATIC PRODUCTS INC
280,POINT (474390.9891703534 4928770.376421642 ),EMERSON AUTOMATION SOLUTIONS ROSEMOUNT INC
281,POINT (475361.8882517489 4929088.751705714 ),AUTOMATED BUILDING COMPONENTS
282,POINT (471839.5771570266 4928769.828189893 ),PROTECH INTERCONNECT SOLUTIONS LLC
283,POINT (472717.1618729247 4927655.286131957 ),FSI INTERNATIONAL
284,POINT (471378.1159817179 4926861.272252204 ),BECKMAN COULTER INC
285,POINT (470948.7839963443 4928640.454962363 ),LIFECORE BIOMEDICAL LLC
286,POINT (472598.2934019024 4927744.649991445 ),LAKE REGION MANUFACTURING INC DBA LAKE REGION MEDICAL
287,POINT (471102.075947607 4929150.739457102 ),MCLAUGHLIN GORMLEY KING
288,POINT (471803.4396032576 4933257.629723416 ),NORTHERN STAR CO
289,POINT (471867.8107625282 4927947.71505341 ),SUPER RADIATOR COILS
290,POINT (469372.2351478795 4928058.971581808 ),NORDIC TRACK
291,POINT (471950.611968758 4928713.807837615 ),PEMSTAR INC.
292,POINT (471931.9801331145 4928080.733256695 ),PR INDUSTRIES INC
293,POINT (473354.4010365804 4927963.664529937 ),QUALI TECH INC DIV 6
294,POINT (473401.8686806667 4927907.930272019 ),QUALITECH INC
295,POINT (471158.5955099555 4931138.824905057 ),APEX INTERNATIONAL
296,POINT (412543.8461352267 4988526.93425779 ),CTS CORP CONNECTOR DIV
297,POINT (402062.8565664721 4989779.358438607 ),POLLOCK MANUFACTURING INC
298,POINT (406777.4397810618 4988497.531429028 ),NORTRONICS CO INC
299,POINT (472372.5232571807 5004139.719874711 ),TESCOM
300,POINT (410706.1750708859 4909291.700268837 ),M G WALDBAUM
301,POINT (413122.396029311 4923646.03046646 ),ADM ANIMAL NUTRITION
302,POINT (412147.066458176 4923892.431101639 ),MILLER MANUFACTURING CO
303,POINT (413272.6549064035 4923577.367754872 ),ASSOCIATED MILK PRODUCERS INC
304,POINT (412964.7795676744 4923759.233996493 ),SENECA FOODS
305,POINT (486425.2113864849 4925257.339581198 ),XCEL ENERGY BLACK DOG GENERATING PLANT
306,POINT (487878.869847342 4924376.955358793 ),BOTTLING GROUP LLC D/B/A PEPSI BEVERAGES CO
307,POINT (485358.3441655337 4921172.006112587 ),ROSEMOUNT AEROSPACE INC
308,POINT (474603.3003118003 4986355.798261979 ),ALPANA ALUMINUM PRODS
309,POINT (472154.9357842389 4986710.394200238 ),QX INC
310,POINT (472116.1337109948 4986843.871832159 ),TEMROC METALS INC
311,POINT (385644.9192948728 4914515.412280126 ),SCHWEISS DISTRIBUTING INC
312,POINT (480303.993279771 5010886.792232996 ),CROWN FIXTURES INC
313,POINT (481525.8032767705 4933400.381463637 ),EDCO PRODUCTS INC
314,POINT (497990.2717794001 4932463.540089884 ),HONEYWELL ADVANCED CIRCUITS INC
315,POINT (480821.3209645226 4934213.30777206 ),ADVANCED FLEX INC PLANT 3
316,POINT (480123.4359886397 4931938.27731174 ),HOLADAY CIRCUITS INC
317,POINT (481470.2059468413 4933400.540052264 ),ALLIANT TECHSYSTEMS INC HOPKINS FACILITY
318,POINT (480498.352443812 4932448.105101178 ),KANGAS ENAMELING
319,POINT (480031.3526864316 4932993.815389845 ),MACTAC ENGINEERED PRODUCTS
320,POINT (486860.7594184863 4908539.481384365 ),AMERICAN MEDICAL SYSTEMS
321,POINT (486860.7594184863 4908539.481384365 ),AMERICAN MEDICAL SYSTEMS INC
322,POINT (479854.9861325433 4932472.286650539 ),METRO MARK INC
323,POINT (487703.6607970779 4936840.294724833 ),NORTHERN TELECOM
324,POINT (479960.0031317409 4933038.467255431 ),SHANNON GROUP INC TONKA DIV
325,POINT (479175.8937343424 4931263.664102856 ),SUEZ WTS SOLUTIONS USA INC
326,POINT (479920.2885080166 4933038.590063876 ),SIERRA CORP
327,POINT (477308.5509056926 4928926.148232043 ),BIRCHWOOD LABORATORIES INC
328,POINT (480706.0631570019 4930170.359721565 ),CONTROL DATA CORP
329,POINT (480930.6514941262 4930880.60233233 ),MACDERMID INC EDEN PRAIRIE
330,POINT (480904.0053111566 4929925.400755789 ),DOUGLAS CORP
331,POINT (479335.6717845203 4929041.569827939 ),APPLIED COATING TECHNOLOGY INC PLANT 1
332,POINT (478301.9357541915 4928889.430155545 ),GENERAL MILLS
333,POINT (480768.4503147671 4929770.290248235 ),GUSTAFSON LLC
334,POINT (487169.8778516949 4991294.926423779 ),HONEYWELL AEROSPACE COON RAPIDS
335,POINT (480771.8060440467 4930903.286731165 ),BODYCOTE THERMAL PROCESSING
336,POINT (479295.7910594155 4928997.265234873 ),EMERSON CONTROL TECHNIQUES
337,POINT (480809.2354626341 4930125.62235219 ),PHILLIPS and TEMRO INDUSTRIES INC.
338,POINT (480763.5642677027 4930803.339911886 ),PHYSICAL ELECTRONICS PHYSICAL ELECTRONICS DIV
339,POINT (463424.4096483784 5001318.761618058 ),POWER PROCESS EQUIPMENT
340,POINT (480738.0466062603 4930236.912185049 ),RELIANCE MOTION CONTROL
